year,field,genarea,n,first,last,range,ord,alpha
1933,English,Humanities,58,1900,2011,111,1900.99,0.8
1954,English,Humanities,81,1900,2011,111,1900.99,0.8
1967,English,Humanities,47,1900,2011,111,1900.99,0.8
1991,Mineral Engineering,Engineering,71,1986,1999,13,1986.9840328194928,0.8
1991,English,Humanities,77,1900,2011,111,1900.99,0.8
2001,English,Humanities,1,1900,2011,111,1900.99,0.8
1946,Mining and Metallurgy,Engineering,132,1900,1946,46,1900.9576777722525,0.1
1975,Entomological Sciences,Natural Sciences,5,1973,1993,20,1973.9810492292393,0.8
1981,Environmental Design,Professional,16,1968,1989,21,1968.9790601690702,0.8
1983,Ethnomusicology,Humanities,61,1983,1983,0,1983.9760765788164,1
1983,Folklore,Humanities,4,1966,2011,45,1966.99,0.8
1990,Folklore,Humanities,3,1966,2011,45,1966.99,0.8
1961,Food Technology,Professional,7,1951,1961,10,1951.9651367478866,0.1
1942,Forestry,Professional,28,1939,1967,28,1939.9681203381401,0.8
1986,Forestry and Resource Management,Professional,64,1975,1993,18,1975.9810492292393,0.8
1987,Forestry and Resource Management,Professional,60,1975,1993,18,1975.9810492292393,0.8
1962,French,Humanities,35,1918,2011,93,1918.99,0.8
1969,French,Humanities,53,1918,2011,93,1918.99,0.8
1951,Genetics,Natural Sciences,11,1951,1990,39,1951.9795574341124,1
1983,Genetics,Natural Sciences,33,1951,1990,39,1951.9795574341124,0.8
1911,Geography,Social Sciences,11,1900,2011,111,1900.99,0.8
1989,Industrial Engineering and Operations Research,Engineering,37,1971,2011,40,1971.99,0.8
1955,Geography,Social Sciences,36,1900,2011,111,1900.99,0.8
1952,Nursing,Professional,39,1940,1958,18,1940.9636449527598,0.8
1954,Nursing,Professional,40,1940,1958,18,1940.9636449527598,0.5
1987,Nutritional Sciences,Professional,29,1962,1999,37,1962.9840328194928,0.8
1929,Geological Sciences,Natural Sciences,28,1921,1953,32,1921.9611586275485,0.8
1929,Optometry,Professional,37,1929,2011,82,1929.99,1
1937,Geological Sciences,Natural Sciences,31,1921,1953,32,1921.9611586275485,0.8
1947,Optometry,Professional,16,1929,2011,82,1929.99,0.8
1946,Geological Sciences,Natural Sciences,35,1921,1953,32,1921.9611586275485,0.8
1975,Optometry,Professional,46,1929,2011,82,1929.99,0.8
1995,Optometry,Professional,72,1929,2011,82,1929.99,0.8
1983,Geology and Geophysics,Natural Sciences,52,1963,1999,36,1963.9840328194928,0.8
1984,Geology and Geophysics,Natural Sciences,61,1963,1999,36,1963.9840328194928,0.8
1921,Oriental Languages,Humanities,21,1901,1991,90,1901.9800546991546,0.8
1917,Geology and Mineralogy,Natural Sciences,17,1913,1920,7,1913.9447488811536,0.4
1935,German,Humanities,33,1900,2011,111,1900.99,0.8
1991,Oriental Languages,Humanities,86,1901,1991,90,1901.9800546991546,0.1
1911,Germanic Philology,Humanities,3,1911,1921,10,1911.945246146196,1
1917,Germanic Philology,Humanities,2,1911,1921,10,1911.945246146196,0.5
1956,Philosophy,Humanities,51,1900,2011,111,1900.99,0.8
1906,Greek,Humanities,23,1900,1937,37,1900.9532023868721,0.8
1916,Greek,Humanities,21,1900,1937,37,1900.9532023868721,0.8
1917,Greek,Humanities,19,1900,1937,37,1900.9532023868721,0.8
1919,Greek,Humanities,58,1900,1937,37,1900.9532023868721,0.8
1928,Greek,Humanities,1,1900,1937,37,1900.9532023868721,0.8
1973,Philosophy,Humanities,45,1900,2011,111,1900.99,0.8
2005,Health and Medical Sciences,Professional,19,2003,2005,2,2003.9870164097465,0.1
1909,History,Social Sciences,16,1903,2011,108,1903.99,0.8
1921,History,Social Sciences,23,1903,2011,108,1903.99,0.8
1936,History,Social Sciences,51,1903,2011,108,1903.99,0.8
1995,Philosophy,Humanities,38,1900,2011,111,1900.99,0.8
2007,Philosophy,Humanities,51,1900,2011,111,1900.99,0.8
1945,Physical Education,Education,25,1943,2011,68,1943.99,0.8
1946,Physical Education,Education,54,1943,2011,68,1943.99,0.8
2011,Physical Education,Education,18,1943,2011,68,1943.99,0.8
1915,Physical Education for Women,Education,58,1914,1942,28,1914.9556887120837,0.8
1984,History,Social Sciences,12,1903,2011,108,1903.99,0.8
1913,Physics,Natural Sciences,20,1900,2011,111,1900.99,0.8
1918,Physics,Natural Sciences,29,1900,2011,111,1900.99,0.8
1900,History and Political Science,Social Sciences,39,1900,1902,2,1900.9357981103929,1
1911,Physiology,Natural Sciences,9,1903,1964,61,1903.9666285430135,0.8
1983,History of Art,Humanities,32,1969,1991,22,1969.9800546991546,0.8
1928,Household Art,Humanities,6,1920,1938,18,1920.9536996519146,0.8
1932,Household Art,Humanities,8,1920,1938,18,1920.9536996519146,0.8
1933,Household Science,Professional,15,1920,1937,17,1920.9532023868721,0.5
1924,Hygeine,Professional,11,1906,1943,37,1906.9561859771259,0.8
1925,Hygeine,Professional,12,1906,1943,37,1906.9561859771259,0.8
1927,Hygeine,Professional,22,1906,1943,37,1906.9561859771259,0.8
1941,Hygeine,Professional,17,1906,1943,37,1906.9561859771259,0.3
1983,Immunology,Professional,34,1976,1995,19,1976.9820437593237,0.8
2007,Information,Professional,6,1979,2011,32,1979.99,0.8
1994,Integrative Biology,Natural Sciences,80,1990,2011,21,1990.99,0.8
2005,Integrative Biology,Natural Sciences,85,1990,2011,21,1990.99,0.8
1934,Irrigation,Professional,12,1901,1949,48,1901.9591695673794,0.8
1944,Irrigation,Professional,7,1901,1949,48,1901.9591695673794,0.6
1950,Italian,Humanities,17,1919,1994,75,1919.9815464942815,0.8
1974,Italian,Humanities,62,1919,1994,75,1919.9815464942815,0.8
1975,Italian,Humanities,61,1919,1994,75,1919.9815464942815,0.8
1990,Italian,Humanities,32,1919,1994,75,1919.9815464942815,0.5
1951,Journalism,Professional,21,1940,2011,71,1940.99,0.8
1953,Landscape Architecture,Professional,62,1949,1995,46,1949.9820437593237,0.8
1976,Landscape Architecture,Professional,71,1949,1995,46,1949.9820437593237,0.8
1912,Latin,Humanities,41,1900,1936,36,1900.95270512183,0.8
1930,Latin,Humanities,23,1900,1936,36,1900.95270512183,0.8
1989,Psychology,Social Sciences,100,1922,2011,89,1922.99,0.8
2003,Psychology,Social Sciences,12,1922,2011,89,1922.99,0.8
1988,Law,Professional,26,1949,2011,62,1949.99,0.8
1999,Law,Professional,7,1949,2011,62,1949.99,0.8
2007,Legal Studies,Professional,29,1983,2011,28,1983.99,0.8
1926,Librarianship,Professional,1,1926,1978,52,1926.9735902536052,1
1931,Librarianship,Professional,13,1926,1978,52,1926.9735902536052,0.8
1932,Librarianship,Professional,13,1926,1978,52,1926.9735902536052,0.8
1933,Librarianship,Professional,13,1926,1978,52,1926.9735902536052,0.8
1988,Library and Information Studies,Professional,67,1986,1995,9,1986.9820437593237,0.8
1970,Linguistics,Social Sciences,45,1901,2011,110,1901.99,0.8
1974,Linguistics,Social Sciences,44,1901,2011,110,1901.99,0.8
1973,Material Science and Engineering,Engineering,59,1971,2011,40,1971.99,0.8
1978,Materials Science and Mineral Engineering,Engineering,78,1977,1999,22,1977.9840328194928,0.8
1985,Materials Science and Mineral Engineering,Engineering,82,1977,1999,22,1977.9840328194928,0.8
1991,Materials Science and Mineral Engineering,Engineering,75,1977,1999,22,1977.9840328194928,0.8
1920,Mathematics,Natural Sciences,33,1900,2011,111,1900.99,0.8
1923,Mathematics,Natural Sciences,45,1900,2011,111,1900.99,0.8
1932,Mathematics,Natural Sciences,1,1900,2011,111,1900.99,0.8
1947,Mathematics,Natural Sciences,77,1900,2011,111,1900.99,0.8
1962,Nutritional Sciences,Professional,22,1962,1999,37,1962.9840328194928,1
1901,Mechanical and Electrical Engineering,Engineering,15,1901,1930,29,1901.9497215315764,1
1904,Mechanical and Electrical Engineering,Engineering,14,1901,1930,29,1901.9497215315764,0.8
1937,Mechanical Engineering,Engineering,32,1900,2011,111,1900.99,0.8
1973,Mechanical Engineering,Engineering,113,1900,2011,111,1900.99,0.8
1986,Social and Administrative Health Sciences,Professional,74,1975,1992,17,1975.9805519641968,0.8
1966,Medical Physics,Professional,18,1964,1978,14,1964.9735902536052,0.8
1967,Medical Physics,Professional,20,1964,1978,14,1964.9735902536052,0.8
1997,Microbiology,Natural Sciences,11,1993,2011,18,1993.99,0.8
1988,Microbiology and Immunology,Natural Sciences,29,1979,1988,9,1979.978562904028,0.1
1976,Sociology,Social Sciences,68,1950,2011,61,1950.99,0.8
1908,Mineralogy,Engineering,5,1900,1912,12,1900.9407707608154,0.5
1902,Mining and Metallurgy,Engineering,11,1900,1946,46,1900.9576777722525,0.8
1904,Mining and Metallurgy,Engineering,12,1900,1946,46,1900.9576777722525,0.8
1995,Molecular and Cell Biology,Natural Sciences,144,1989,2011,22,1989.99,0.8
1999,Molecular and Cell Biology,Natural Sciences,111,1989,2011,22,1989.99,0.8
2005,Molecular and Cell Biology,Natural Sciences,14,1989,2011,22,1989.99,0.8
1985,Molecular Plant Biology,Natural Sciences,15,1983,1989,6,1983.9790601690702,0.5
1989,Molecular Plant Biology,Natural Sciences,38,1983,1989,6,1983.9790601690702,0.1
1967,Music,Humanities,59,1906,2011,105,1906.99,0.8
2011,Nanoscale Science and Engineering,Engineering,5,2011,2011,0,2011.99,1
1995,Native American Studies,Humanities,13,1975,2011,36,1975.99,0.8
1980,Naval Architecture,Professional,18,1961,1980,19,1961.9745847836898,0.1
1988,Naval Architecture and Offshore Engineering,Engineering,15,1983,2001,18,1983.9850273495774,0.8
1993,Naval Architecture and Offshore Engineering,Engineering,15,1983,2001,18,1983.9850273495774,0.8
1962,Naval Science,Professional,10,1953,1978,25,1953.9735902536052,0.8
1984,Near Eastern Studies,Humanities,42,1973,2011,38,1973.99,0.8
2005,Plant and Microbial Biology,Natural Sciences,54,1997,2011,14,1997.99,0.8
1914,Zoology,Natural Sciences,16,1900,1988,88,1900.978562904028,0.8
1906,Political Science,Social Sciences,14,1903,2011,108,1903.99,0.8
1910,Political Science,Social Sciences,14,1903,2011,108,1903.99,0.8
1993,Nuclear Engineering,Engineering,27,1976,2011,35,1976.99,0.8
1981,Zoology,Natural Sciences,80,1900,1988,88,1900.978562904028,0.8
1997,Nuclear Engineering,Engineering,28,1976,2011,35,1976.99,0.8
1951,Political Science,Social Sciences,108,1903,2011,108,1903.99,0.8
1963,Optometry,Professional,20,1929,2011,82,1929.99,0.8
1985,Political Science,Social Sciences,163,1903,2011,108,1903.99,0.8
1931,Oriental Languages,Humanities,17,1901,1991,90,1901.9800546991546,0.8
1987,Politics,Social Sciences,2,1987,1997,10,1987.9830382894083,1
1930,Paleontology,Natural Sciences,11,1910,1988,78,1910.978562904028,0.8
1976,Paleontology,Natural Sciences,25,1910,1988,78,1910.978562904028,0.8
1980,Paleontology,Natural Sciences,28,1910,1988,78,1910.978562904028,0.8
1925,Physical Education for Women,Education,31,1914,1942,28,1914.9556887120837,0.8
1948,Physical Therapy,Professional,1,1948,1958,10,1948.9636449527598,1
1902,Physics,Natural Sciences,13,1900,2011,111,1900.99,0.8
2009,Public Health,Professional,114,1937,2011,74,1937.99,0.8
1939,Physics,Natural Sciences,32,1900,2011,111,1900.99,0.8
1954,Physics,Natural Sciences,53,1900,2011,111,1900.99,0.8
1999,Physics,Natural Sciences,56,1900,2011,111,1900.99,0.8
2003,Physics,Natural Sciences,60,1900,2011,111,1900.99,0.8
1941,Physiology,Natural Sciences,18,1903,1964,61,1903.9666285430135,0.8
1949,Physiology,Natural Sciences,18,1903,1964,61,1903.9666285430135,0.8
1956,Physiology,Natural Sciences,23,1903,1964,61,1903.9666285430135,0.8
1976,Physiology Anatomy,Natural Sciences,41,1965,1991,26,1965.9800546991546,0.8
1987,Wildland Resource Science,Professional,12,1979,1987,8,1979.9780656389855,0.1
1997,Plant and Microbial Biology,Natural Sciences,5,1997,2011,14,1997.99,1
1962,Plant Pathology,Natural Sciences,7,1951,1993,42,1951.9810492292393,0.8
1992,Plant Pathology,Natural Sciences,22,1951,1993,42,1951.9810492292393,0.2
2003,Political Economy of Industrial Societies,Social Sciences,13,1976,2007,31,1976.988010939831,0.5
1971,Zoology,Natural Sciences,74,1900,1988,88,1900.978562904028,0.8
1940,Political Science,Social Sciences,61,1903,2011,108,1903.99,0.8
1957,Political Science,Social Sciences,105,1903,2011,108,1903.99,0.8
1931,Psychology,Social Sciences,22,1922,2011,89,1922.99,0.8
1969,Psychology,Social Sciences,17,1922,2011,89,1922.99,0.8
1988,Psychology,Social Sciences,20,1922,2011,89,1922.99,0.8
1983,Soil Science,Professional,8,1956,1992,36,1956.9805519641968,0.8
1922,Public Speaking,Professional,14,1915,1946,31,1915.9576777722525,0.8
1987,Range Management,Professional,7,1953,2011,58,1953.99,0.8
1981,Romance Philology,Humanities,11,1924,1997,73,1924.9830382894083,0.8
1990,Romance Philology,Humanities,4,1924,1997,73,1924.9830382894083,0.8
1993,Romance Philology,Humanities,6,1924,1997,73,1924.9830382894083,0.5
1946,Scandinavian Languages and Literature,Humanities,4,1946,1950,4,1946.9596668324216,1
2009,Social Welfare,Professional,63,1939,2011,72,1939.99,0.8
1956,Sociology and Social Institutions,Social Sciences,63,1946,1958,12,1946.9636449527598,0.3
1958,Sociology and Social Institutions,Social Sciences,72,1946,1958,12,1946.9636449527598,0.1
1920,Spanish,Humanities,14,1911,1974,63,1911.971601193436,0.8
1961,Spanish and Portuguese,Humanities,43,1931,2011,80,1931.99,0.8
2003,Ancient History and Mediterranean Archa?eology,Social Sciences,2,1993,2011,18,1993.99,0.8
2005,Ancient History and Mediterranean Archa?eology,Social Sciences,2,1993,2011,18,1993.99,0.8
1924,Biochemistry and Pharmacology,Natural Sciences,3,1916,1927,11,1916.9482297364495,0.4
1987,Buddhist Studies,Humanities,3,1974,2011,37,1974.99,0.8
1969,Cell Physiology,Natural Sciences,2,1964,1974,10,1964.971601193436,0.6
1950,Optometry,Professional,19,1929,2011,82,1929.99,0.8
1985,Energy and Resources Group ERG,Natural Sciences,17,1981,2011,30,1981.99,0.8
1967,Nutritional Sciences,Professional,31,1962,1999,37,1962.9840328194928,0.8
1951,Optometry,Professional,20,1929,2011,82,1929.99,0.8
1962,Italian,Humanities,24,1919,1994,75,1919.9815464942815,0.8
1966,Plant Pathology,Natural Sciences,14,1951,1993,42,1951.9810492292393,0.8
1937,Slavic Languages,Humanities,16,1902,1995,93,1902.9820437593237,0.8
1956,Soil Science,Professional,1,1956,1992,36,1956.9805519641968,1
1902,Philosophy,Humanities,9,1900,2011,111,1900.99,0.8
1918,Paleontology,Natural Sciences,7,1910,1988,78,1910.978562904028,0.8
1900,Mathematics,Natural Sciences,19,1900,2011,111,1900.99,1
1939,Social Institutions,Social Sciences,9,1920,1945,25,1920.9571805072103,0.8
1934,Bacteriology,Natural Sciences,7,1924,1977,53,1924.973092988563,0.8
1925,Romance Philology,Humanities,2,1924,1997,73,1924.9830382894083,0.8
1902,Astronomy,Natural Sciences,9,1900,2011,111,1900.99,0.8
1900,Astronomy,Natural Sciences,10,1900,2011,111,1900.99,1
1901,Geology,Natural Sciences,11,1900,1962,62,1900.9656340129288,0.8
1904,Irrigation,Professional,3,1901,1949,48,1901.9591695673794,0.8
1914,Geography,Social Sciences,13,1900,2011,111,1900.99,0.8
1906,Music,Humanities,3,1906,2011,105,1906.99,1
1964,Range Management,Professional,5,1953,2011,58,1953.99,0.8
1921,Anatomy,Natural Sciences,6,1908,1988,80,1908.978562904028,0.8
1911,Anatomy,Natural Sciences,8,1908,1988,80,1908.978562904028,0.8
1919,Zoology,Natural Sciences,1,1900,1988,88,1900.978562904028,0.8
1977,Aerospace Studies,Engineering,4,1967,1978,11,1967.9735902536052,0.2
1988,Public Policy,Social Sciences,35,1971,2011,40,1971.99,0.8
1975,AfroAmerican Studies,Humanities,55,1975,1991,16,1975.9800546991546,1
1993,Public Policy,Social Sciences,35,1971,2011,40,1971.99,0.8
1995,Public Policy,Social Sciences,39,1971,2011,40,1971.99,0.8
2005,Public Policy,Social Sciences,42,1971,2011,40,1971.99,0.8
1918,Public Speaking,Professional,9,1915,1946,31,1915.9576777722525,0.8
1931,Public Speaking,Professional,13,1915,1946,31,1915.9576777722525,0.8
1944,Public Speaking,Professional,10,1915,1946,31,1915.9576777722525,0.3
1946,Public Speaking,Professional,15,1915,1946,31,1915.9576777722525,0.1
1952,Agricultural Economics,Professional,29,1926,1974,48,1926.971601193436,0.8
1965,Agricultural Economics,Professional,27,1926,1974,48,1926.971601193436,0.8
1914,Agriculture,Professional,132,1911,1957,46,1911.9631476877175,0.8
1950,Electrical Engineering,Engineering,245,1924,1963,39,1924.9661312779713,0.8
1921,Agriculture,Professional,45,1911,1957,46,1911.9631476877175,0.8
1930,Agriculture,Professional,10,1911,1957,46,1911.9631476877175,0.8
1928,Romance Philology,Humanities,2,1924,1997,73,1924.9830382894083,0.8
1909,Romanic Languages,Humanities,4,1900,1943,43,1900.9561859771259,0.8
1926,Sanskrit,Humanities,6,1906,1999,93,1906.9840328194928,0.8
1963,Sanskrit,Humanities,25,1906,1999,93,1906.9840328194928,0.8
1944,Agriculture,Professional,93,1911,1957,46,1911.9631476877175,0.8
1976,Scandinavian,Humanities,48,1951,2011,60,1951.99,0.8
1950,Agriculture,Professional,75,1911,1957,46,1911.9631476877175,0.8
1925,Agronomy,Professional,1,1924,1954,30,1924.9616558925907,0.8
1954,Air Science,Professional,8,1954,2011,57,1954.99,1
2005,Air Science,Professional,55,1954,2011,57,1954.99,0.8
2011,Air Science,Professional,138,1954,2011,57,1954.99,0.8
