ord,type,category,subcategory_1,subcategory_2,indent,text,orig,all,gen_GI,gen_Trad,gen_Boom,gen_X,gen_Mil
238,spending,Housing,"Utilities, fuels, and public services",,4,"Utilities, fuels, and public services","Utilities, fuels, and public services",,,,,,
239,spending,Housing,"Utilities, fuels, and public services",,4,Mean,Mean,3836,2583,3393,4171,4455,2996
240,spending,Housing,"Utilities, fuels, and public services",,4,Share,Share,6.4,6.2,7.6,6.6,6.1,5.8
241,spending,Housing,"Utilities, fuels, and public services",,4,SE,SE,40.75,156.2,66.44,58.69,56.03,50.14
242,spending,Housing,"Utilities, fuels, and public services",,4,CV(%),CV(%),1.06,6.05,1.96,1.41,1.26,1.67
243,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Natural gas,Natural gas,,,,,,
244,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Mean,Mean,381,361,383,432,427,261
245,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Share,Share,0.6,0.9,0.9,0.7,0.6,0.5
246,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,SE,SE,11.21,50.33,20.55,13.86,16.73,9.27
247,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,CV(%),CV(%),2.94,13.93,5.37,3.21,3.92,3.55
248,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Electricity,Electricity,,,,,,
249,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Mean,Mean,1420,1018,1352,1548,1570,1136
250,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Share,Share,2.4,2.4,3,2.5,2.2,2.2
251,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,SE,SE,16.65,89.27,28.95,22.77,24.58,23.85
252,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,CV(%),CV(%),1.17,8.77,2.14,1.47,1.57,2.1
253,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Fuel oil and other fuels,Fuel oil and other fuels,,,,,,
254,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Mean,Mean,97,121,138,129,86,43
255,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Share,Share,0.2,0.3,0.3,0.2,0.1,0.1
256,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,SE,SE,8.73,35.18,19.69,13.49,8.75,6.58
257,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,CV(%),CV(%),9,29.14,14.23,10.44,10.17,15.39
258,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Telephone services,Telephone services,,,,,,
259,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Mean,Mean,1356,687,935,1424,1692,1145
260,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,Share,Share,2.3,1.6,2.1,2.3,2.3,2.2
261,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,SE,SE,17.36,49.6,18.24,25.76,28.23,23.95
262,spending,Housing,"Utilities, fuels, and public services",Natural gas,6,CV(%),CV(%),1.28,7.22,1.95,1.81,1.67,2.09
263,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,"Residential phone service, VOIP, and phone cards","Residential phone service, VOIP, and phone cards",,,,,,
264,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,Mean,Mean,238,406,424,308,197,83
265,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,Share,Share,0.4,1,0.9,0.5,0.3,0.2
266,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,SE,SE,5.24,25.67,7.71,8.39,7.88,5.43
267,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,CV(%),CV(%),2.2,6.32,1.82,2.72,3.99,6.52
268,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,Cellular phone service,Cellular phone service,,,,,,
269,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,Mean,Mean,1118,280,511,1117,1494,1062
270,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,Share,Share,1.9,0.7,1.1,1.8,2.1,2.1
271,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,SE,SE,16.54,41.81,17.16,23.14,27.81,23.01
272,spending,Housing,"Utilities, fuels, and public services",Natural gas,8,CV(%),CV(%),1.48,14.91,3.36,2.07,1.86,2.17
273,spending,Housing,"Utilities, fuels, and public services",Water and other public services,6,Water and other public services,Water and other public services,,,,,,
274,spending,Housing,"Utilities, fuels, and public services",Water and other public services,6,Mean,Mean,583,396,585,638,681,411
275,spending,Housing,"Utilities, fuels, and public services",Water and other public services,6,Share,Share,1,0.9,1.3,1,0.9,0.8
276,spending,Housing,"Utilities, fuels, and public services",Water and other public services,6,SE,SE,13.79,35.94,21.4,17.84,16.89,14.27
277,spending,Housing,"Utilities, fuels, and public services",Water and other public services,6,CV(%),CV(%),2.37,9.08,3.66,2.8,2.48,3.47
278,spending,Housing,Household operations,,4,Household operations,Household operations,,,,,,
279,spending,Housing,Household operations,,4,Mean,Mean,1412,2184,1155,1192,1678,1523
280,spending,Housing,Household operations,,4,Share,Share,2.4,5.2,2.6,1.9,2.3,3
281,spending,Housing,Household operations,,4,SE,SE,38.05,599.94,58,46.37,81.86,71.02
282,spending,Housing,Household operations,,4,CV(%),CV(%),2.7,27.46,5.02,3.89,4.88,4.66
283,spending,Housing,Household operations,Personal services,6,Personal services,Personal services,,,,,,
284,spending,Housing,Household operations,Personal services,6,Mean,Mean,439,1115,54,103,618,874
285,spending,Housing,Household operations,Personal services,6,Share,Share,0.7,2.7,0.1,0.2,0.9,1.7
286,spending,Housing,Household operations,Personal services,6,SE,SE,27.13,619.47,26.01,27.04,68.73,64.06
287,spending,Housing,Household operations,Personal services,6,CV(%),CV(%),6.18,55.56,48.19,26.27,11.12,7.33
288,spending,Housing,Household operations,Personal services,6,Other household expenses,Other household expenses,,,,,,
289,spending,Housing,Household operations,Personal services,6,Mean,Mean,973,1069,1101,1090,1060,650
290,spending,Housing,Household operations,Personal services,6,Share,Share,1.6,2.6,2.5,1.7,1.5,1.3
291,spending,Housing,Household operations,Personal services,6,SE,SE,21.61,125.97,56.95,31.93,36.14,19.61
292,spending,Housing,Household operations,Personal services,6,CV(%),CV(%),2.22,11.78,5.17,2.93,3.41,3.02
293,spending,Housing,Housekeeping supplies,,4,Housekeeping supplies,Housekeeping supplies,,,,,,
294,spending,Housing,Housekeeping supplies,,4,Mean,Mean,755,452,835,886,803,495
295,spending,Housing,Housekeeping supplies,,4,Share,Share,1.3,1.1,1.9,1.4,1.1,1
296,spending,Housing,Housekeeping supplies,,4,SE,SE,23.58,106.86,90.41,49.34,36.62,26.66
297,spending,Housing,Housekeeping supplies,,4,CV(%),CV(%),3.12,23.66,10.83,5.57,4.56,5.39
298,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,Laundry and cleaning supplies,Laundry and cleaning supplies,,,,,,
299,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,Mean,Mean,177,94,163,184,218,136
300,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,Share,Share,0.3,0.2,0.4,0.3,0.3,0.3
301,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,SE,SE,5.08,32.58,17.7,9.96,14.8,8.17
302,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,CV(%),CV(%),2.87,34.62,10.85,5.42,6.79,5.99
303,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,Other household products,Other household products,,,,,,
304,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,Mean,Mean,428,256,494,510,440,275
305,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,Share,Share,0.7,0.6,1.1,0.8,0.6,0.5
306,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,SE,SE,20.66,70.76,90.55,43.14,26.15,17.21
